dep;jour;pc_vac_dose1;pc_vac_dose2;pc_vac_cum_dose1;pc_vac_cum_dose2
01;2020-12-28;0;0;0;0
01;2020-12-29;0;0;0;0
01;2020-12-30;0;0;0;0
01;2020-12-31;0;0;0;0
01;2021-01-01;0;0;0;0
01;2021-01-02;0;0;0;0
01;2021-01-03;0;0;0;0
01;2021-01-04;0;0;0;0
01;2021-01-05;0;0;0;0
01;2021-01-06;0;0;0;0
01;2021-01-07;2;0;2;0
01;2021-01-08;4;0;6;0
01;2021-01-09;0;0;6;0
01;2021-01-10;0;0;6;0
01;2021-01-11;10;0;16;0
01;2021-01-12;20;0;36;0
01;2021-01-13;32;0;68;0
01;2021-01-14;44;0;112;0
01;2021-01-15;33;0;145;0
01;2021-01-16;19;0;164;0
01;2021-01-17;27;0;191;0
01;2021-01-18;9;0;200;0
01;2021-01-19;25;0;225;0
01;2021-01-20;65;0;290;0
01;2021-01-21;40;0;330;0
01;2021-01-22;39;0;369;0
01;2021-01-23;3;0;372;0
01;2021-01-24;3;0;375;0
01;2021-01-25;24;1;399;1
01;2021-01-26;45;0;444;1
01;2021-01-27;21;0;465;1
01;2021-01-28;31;5;496;6
01;2021-01-29;40;1;536;7
01;2021-01-30;7;0;543;7
01;2021-01-31;0;0;543;7
01;2021-02-01;16;6;559;13
01;2021-02-02;28;14;587;27
01;2021-02-03;20;24;607;51
01;2021-02-04;23;39;630;90
01;2021-02-05;18;13;648;103
01;2021-02-06;8;13;656;116
01;2021-02-07;0;25;656;141
01;2021-02-08;31;12;687;153
01;2021-02-09;53;33;740;186
01;2021-02-10;45;62;785;248
01;2021-02-11;51;42;836;290
01;2021-02-12;54;41;890;331
01;2021-02-13;4;2;894;333
01;2021-02-14;0;0;894;333
01;2021-02-15;33;15;927;348
01;2021-02-16;36;17;963;365
01;2021-02-17;39;9;1002;374
01;2021-02-18;46;20;1048;394
01;2021-02-19;28;15;1076;409
01;2021-02-20;14;2;1090;411
01;2021-02-21;0;0;1090;411
01;2021-02-22;33;25;1123;436
01;2021-02-23;24;26;1147;462
01;2021-02-24;41;22;1188;484
01;2021-02-25;145;32;1333;516
01;2021-02-26;224;30;1557;546
01;2021-02-27;175;4;1732;550
01;2021-02-28;11;0;1743;550
01;2021-03-01;74;26;1817;576
01;2021-03-02;125;41;1942;617
01;2021-03-03;176;29;2118;646
01;2021-03-04;265;41;2383;687
01;2021-03-05;305;28;2688;715
01;2021-03-06;210;4;2898;719
01;2021-03-07;13;0;2911;719
01;2021-03-08;91;38;3002;757
01;2021-03-09;190;39;3192;796
01;2021-03-10;215;21;3407;817
01;2021-03-11;271;38;3678;855
01;2021-03-12;421;23;4099;878
01;2021-03-13;228;4;4327;882
01;2021-03-14;25;0;4352;882
01;2021-03-15;98;27;4450;909
01;2021-03-16;68;42;4518;951
01;2021-03-17;50;33;4568;984
01;2021-03-18;77;25;4645;1009
01;2021-03-19;237;28;4882;1037
01;2021-03-20;162;9;5044;1046
01;2021-03-21;16;0;5060;1046
01;2021-03-22;148;20;5208;1066
01;2021-03-23;289;28;5497;1094
01;2021-03-24;187;24;5684;1118
01;2021-03-25;397;18;6081;1136
01;2021-03-26;430;27;6511;1163
01;2021-03-27;168;4;6679;1167
01;2021-03-28;6;0;6685;1167
01;2021-03-29;203;20;6888;1187
01;2021-03-30;313;29;7201;1216
01;2021-03-31;208;21;7409;1237
01;2021-04-01;284;28;7693;1265
02;2020-12-28;0;0;0;0
02;2020-12-29;0;0;0;0
02;2020-12-30;0;0;0;0
02;2020-12-31;0;0;0;0
02;2021-01-01;0;0;0;0
02;2021-01-02;0;0;0;0
02;2021-01-03;0;0;0;0
02;2021-01-04;0;0;0;0
02;2021-01-05;0;0;0;0
02;2021-01-06;6;0;6;0
02;2021-01-07;47;0;53;0
02;2021-01-08;68;0;121;0
02;2021-01-09;18;0;139;0
02;2021-01-10;6;0;145;0
02;2021-01-11;43;0;188;0
02;2021-01-12;41;0;229;0
02;2021-01-13;63;0;292;0
02;2021-01-14;79;0;371;0
02;2021-01-15;58;0;429;0
02;2021-01-16;35;1;464;1
02;2021-01-17;6;0;470;1
02;2021-01-18;49;0;519;1
02;2021-01-19;53;0;572;1
02;2021-01-20;78;0;650;1
02;2021-01-21;173;0;823;1
02;2021-01-22;85;0;908;1
02;2021-01-23;19;0;927;1
02;2021-01-24;8;0;935;1
02;2021-01-25;24;3;959;4
02;2021-01-26;48;7;1007;11
02;2021-01-27;9;3;1016;14
02;2021-01-28;4;37;1020;51
02;2021-01-29;4;70;1024;121
02;2021-01-30;2;2;1026;123
02;2021-01-31;0;0;1026;123
02;2021-02-01;0;46;1026;169
02;2021-02-02;4;39;1030;208
02;2021-02-03;8;49;1038;257
02;2021-02-04;15;38;1053;295
02;2021-02-05;15;34;1068;329
02;2021-02-06;9;21;1077;350
02;2021-02-07;0;0;1077;350
02;2021-02-08;24;44;1101;394
02;2021-02-09;18;43;1119;437
02;2021-02-10;34;75;1153;512
02;2021-02-11;50;146;1203;658
02;2021-02-12;71;94;1274;752
02;2021-02-13;34;10;1308;762
02;2021-02-14;0;0;1308;762
02;2021-02-15;21;42;1329;804
02;2021-02-16;41;30;1370;834
02;2021-02-17;54;41;1424;875
02;2021-02-18;36;23;1460;898
02;2021-02-19;33;24;1493;922
02;2021-02-20;33;9;1526;931
02;2021-02-21;5;3;1531;934
02;2021-02-22;41;10;1572;944
02;2021-02-23;27;26;1599;970
02;2021-02-24;60;5;1659;975
02;2021-02-25;175;8;1834;983
02;2021-02-26;190;11;2024;994
02;2021-02-27;197;0;2221;994
02;2021-02-28;31;0;2252;994
02;2021-03-01;63;4;2315;998
02;2021-03-02;126;8;2441;1006
02;2021-03-03;182;15;2623;1021
02;2021-03-04;286;38;2909;1059
02;2021-03-05;222;27;3131;1086
02;2021-03-06;418;6;3549;1092
02;2021-03-07;119;3;3668;1095
02;2021-03-08;54;22;3722;1117
02;2021-03-09;153;19;3875;1136
02;2021-03-10;153;31;4028;1167
02;2021-03-11;238;22;4266;1189
02;2021-03-12;291;34;4557;1223
02;2021-03-13;470;34;5027;1257
02;2021-03-14;216;0;5243;1257
02;2021-03-15;66;26;5309;1283
02;2021-03-16;85;35;5394;1318
02;2021-03-17;58;38;5452;1356
02;2021-03-18;54;28;5506;1384
02;2021-03-19;168;17;5674;1401
02;2021-03-20;371;5;6045;1406
02;2021-03-21;215;6;6260;1412
02;2021-03-22;95;40;6355;1452
02;2021-03-23;160;29;6515;1481
02;2021-03-24;284;23;6799;1504
02;2021-03-25;338;27;7137;1531
02;2021-03-26;389;18;7526;1549
02;2021-03-27;309;3;7835;1552
02;2021-03-28;55;10;7890;1562
02;2021-03-29;154;47;8044;1609
02;2021-03-30;231;48;8275;1657
02;2021-03-31;216;48;8491;1705
02;2021-04-01;151;46;8642;1751
03;2020-12-28;0;0;0;0
03;2020-12-29;0;0;0;0
03;2020-12-30;0;0;0;0
03;2020-12-31;0;0;0;0
03;2021-01-01;0;0;0;0
03;2021-01-02;0;0;0;0
03;2021-01-03;0;0;0;0
03;2021-01-04;0;0;0;0
03;2021-01-05;0;0;0;0
03;2021-01-06;0;0;0;0
03;2021-01-07;7;0;7;0
03;2021-01-08;12;0;19;0
03;2021-01-09;5;0;24;0
03;2021-01-10;0;0;24;0
03;2021-01-11;48;0;72;0
03;2021-01-12;66;0;138;0
03;2021-01-13;79;0;217;0
03;2021-01-14;94;0;311;0
03;2021-01-15;23;0;334;0
03;2021-01-16;33;0;367;0
03;2021-01-17;1;0;368;0
03;2021-01-18;32;0;400;0
03;2021-01-19;46;0;446;0
03;2021-01-20;64;0;510;0
03;2021-01-21;53;0;563;0
03;2021-01-22;64;0;627;0
03;2021-01-23;22;0;649;0
03;2021-01-24;0;0;649;0
03;2021-01-25;11;0;660;0
03;2021-01-26;43;0;703;0
03;2021-01-27;22;0;725;0
03;2021-01-28;46;5;771;5
03;2021-01-29;54;12;825;17
03;2021-01-30;40;3;865;20
03;2021-01-31;0;0;865;20
03;2021-02-01;9;5;874;25
03;2021-02-02;26;30;900;55
03;2021-02-03;41;36;941;91
03;2021-02-04;53;71;994;162
03;2021-02-05;38;40;1032;202
03;2021-02-06;16;5;1048;207
03;2021-02-07;1;2;1049;209
03;2021-02-08;7;7;1056;216
03;2021-02-09;28;26;1084;242
03;2021-02-10;20;30;1104;272
03;2021-02-11;73;69;1177;341
03;2021-02-12;69;35;1246;376
03;2021-02-13;10;11;1256;387
03;2021-02-14;0;0;1256;387
03;2021-02-15;31;39;1287;426
03;2021-02-16;44;51;1331;477
03;2021-02-17;43;94;1374;571
03;2021-02-18;25;62;1399;633
03;2021-02-19;63;47;1462;680
03;2021-02-20;43;17;1505;697
03;2021-02-21;0;0;1505;697
03;2021-02-22;11;12;1516;709
03;2021-02-23;100;34;1616;743
03;2021-02-24;77;40;1693;783
03;2021-02-25;173;73;1866;856
03;2021-02-26;115;78;1981;934
03;2021-02-27;38;13;2019;947
03;2021-02-28;0;0;2019;947
03;2021-03-01;26;11;2045;958
03;2021-03-02;182;26;2227;984
03;2021-03-03;133;16;2360;1000
03;2021-03-04;208;32;2568;1032
03;2021-03-05;153;25;2721;1057
03;2021-03-06;216;10;2937;1067
03;2021-03-07;1;0;2938;1067
03;2021-03-08;29;17;2967;1084
03;2021-03-09;182;9;3149;1093
03;2021-03-10;156;20;3305;1113
03;2021-03-11;185;31;3490;1144
03;2021-03-12;188;42;3678;1186
03;2021-03-13;186;6;3864;1192
03;2021-03-14;0;0;3864;1192
03;2021-03-15;24;12;3888;1204
03;2021-03-16;51;10;3939;1214
03;2021-03-17;103;24;4042;1238
03;2021-03-18;121;31;4163;1269
03;2021-03-19;169;30;4332;1299
03;2021-03-20;43;1;4375;1300
03;2021-03-21;0;0;4375;1300
03;2021-03-22;22;26;4397;1326
03;2021-03-23;166;7;4563;1333
03;2021-03-24;205;23;4768;1356
03;2021-03-25;226;30;4994;1386
03;2021-03-26;266;35;5260;1421
03;2021-03-27;89;1;5349;1422
03;2021-03-28;0;0;5349;1422
03;2021-03-29;119;13;5468;1435
03;2021-03-30;238;20;5706;1455
03;2021-03-31;124;58;5830;1513
03;2021-04-01;140;75;5970;1588
04;2020-12-28;0;0;0;0
04;2020-12-29;0;0;0;0
04;2020-12-30;0;0;0;0
04;2020-12-31;0;0;0;0
04;2021-01-01;0;0;0;0
04;2021-01-02;0;0;0;0
04;2021-01-03;0;0;0;0
04;2021-01-04;0;0;0;0
04;2021-01-05;0;0;0;0
04;2021-01-06;0;0;0;0
04;2021-01-07;3;0;3;0
04;2021-01-08;14;0;17;0
04;2021-01-09;1;0;18;0
04;2021-01-10;0;0;18;0
04;2021-01-11;4;0;22;0
04;2021-01-12;29;0;51;0
04;2021-01-13;19;0;70;0
04;2021-01-14;12;0;82;0
04;2021-01-15;19;0;101;0
04;2021-01-16;18;0;119;0
04;2021-01-17;0;0;119;0
04;2021-01-18;18;0;137;0
04;2021-01-19;25;0;162;0
04;2021-01-20;20;1;182;1
04;2021-01-21;32;0;214;1
04;2021-01-22;34;0;248;1
04;2021-01-23;8;0;256;1
04;2021-01-24;0;0;256;1
04;2021-01-25;19;0;275;1
04;2021-01-26;22;0;297;1
04;2021-01-27;20;0;317;1
04;2021-01-28;29;4;346;5
04;2021-01-29;32;9;378;14
04;2021-01-30;4;0;382;14
04;2021-01-31;0;0;382;14
04;2021-02-01;8;6;390;20
04;2021-02-02;28;16;418;36
04;2021-02-03;16;12;434;48
04;2021-02-04;8;9;442;57
04;2021-02-05;19;26;461;83
04;2021-02-06;4;9;465;92
04;2021-02-07;0;1;465;93
04;2021-02-08;7;6;472;99
04;2021-02-09;10;12;482;111
04;2021-02-10;12;8;494;119
04;2021-02-11;9;22;503;141
04;2021-02-12;8;17;511;158
04;2021-02-13;1;5;512;163
04;2021-02-14;0;0;512;163
04;2021-02-15;1;11;513;174
04;2021-02-16;8;25;521;199
04;2021-02-17;0;15;521;214
04;2021-02-18;3;31;524;245
04;2021-02-19;5;24;529;269
04;2021-02-20;2;3;531;272
04;2021-02-21;0;0;531;272
04;2021-02-22;2;17;533;289
04;2021-02-23;3;21;536;310
04;2021-02-24;1;20;537;330
04;2021-02-25;16;15;553;345
04;2021-02-26;79;25;632;370
04;2021-02-27;71;6;703;376
04;2021-02-28;0;0;703;376
04;2021-03-01;1;7;704;383
04;2021-03-02;43;3;747;386
04;2021-03-03;93;25;840;411
04;2021-03-04;51;10;891;421
04;2021-03-05;57;13;948;434
04;2021-03-06;130;5;1078;439
04;2021-03-07;45;0;1123;439
04;2021-03-08;10;4;1133;443
04;2021-03-09;50;9;1183;452
04;2021-03-10;58;12;1241;464
04;2021-03-11;63;13;1304;477
04;2021-03-12;109;7;1413;484
04;2021-03-13;102;6;1515;490
04;2021-03-14;34;0;1549;490
04;2021-03-15;4;0;1553;490
04;2021-03-16;7;1;1560;491
04;2021-03-17;25;5;1585;496
04;2021-03-18;60;0;1645;496
04;2021-03-19;72;1;1717;497
04;2021-03-20;18;0;1735;497
04;2021-03-21;0;0;1735;497
04;2021-03-22;16;2;1751;499
04;2021-03-23;22;0;1773;499
04;2021-03-24;93;4;1866;503
04;2021-03-25;134;2;2000;505
04;2021-03-26;120;1;2120;506
04;2021-03-27;36;0;2156;506
04;2021-03-28;0;0;2156;506
04;2021-03-29;77;1;2233;507
04;2021-03-30;108;1;2341;508
04;2021-03-31;132;5;2473;513
04;2021-04-01;106;6;2579;519
05;2020-12-28;0;0;0;0
05;2020-12-29;0;0;0;0
05;2020-12-30;0;0;0;0
05;2020-12-31;0;0;0;0
05;2021-01-01;0;0;0;0
05;2021-01-02;0;0;0;0
05;2021-01-03;0;0;0;0
05;2021-01-04;0;0;0;0
05;2021-01-05;0;0;0;0
05;2021-01-06;1;0;1;0
05;2021-01-07;5;0;6;0
05;2021-01-08;9;0;15;0
05;2021-01-09;0;0;15;0
05;2021-01-10;0;0;15;0
05;2021-01-11;6;0;21;0
05;2021-01-12;12;0;33;0
05;2021-01-13;15;0;48;0
05;2021-01-14;14;0;62;0
05;2021-01-15;16;0;78;0
05;2021-01-16;2;0;80;0
05;2021-01-17;0;0;80;0
05;2021-01-18;8;0;88;0
05;2021-01-19;14;0;102;0
05;2021-01-20;10;0;112;0
05;2021-01-21;17;0;129;0
05;2021-01-22;8;0;137;0
05;2021-01-23;3;0;140;0
05;2021-01-24;0;0;140;0
05;2021-01-25;17;0;157;0
05;2021-01-26;30;0;187;0
05;2021-01-27;22;0;209;0
05;2021-01-28;26;1;235;1
05;2021-01-29;24;7;259;8
05;2021-01-30;1;0;260;8
05;2021-01-31;0;0;260;8
05;2021-02-01;12;3;272;11
05;2021-02-02;5;11;277;22
05;2021-02-03;18;7;295;29
05;2021-02-04;7;9;302;38
05;2021-02-05;12;12;314;50
05;2021-02-06;3;1;317;51
05;2021-02-07;0;0;317;51
05;2021-02-08;4;4;321;55
05;2021-02-09;1;9;322;64
05;2021-02-10;2;8;324;72
05;2021-02-11;2;18;326;90
05;2021-02-12;2;13;328;103
05;2021-02-13;0;3;328;106
05;2021-02-14;0;0;328;106
05;2021-02-15;4;9;332;115
05;2021-02-16;7;32;339;147
05;2021-02-17;6;17;345;164
05;2021-02-18;5;13;350;177
05;2021-02-19;11;20;361;197
05;2021-02-20;0;5;361;202
05;2021-02-21;0;0;361;202
05;2021-02-22;1;11;362;213
05;2021-02-23;0;8;362;221
05;2021-02-24;0;15;362;236
05;2021-02-25;22;12;384;248
05;2021-02-26;44;10;428;258
05;2021-02-27;13;3;441;261
05;2021-02-28;4;0;445;261
05;2021-03-01;14;8;459;269
05;2021-03-02;24;5;483;274
05;2021-03-03;39;16;522;290
05;2021-03-04;53;9;575;299
05;2021-03-05;89;4;664;303
05;2021-03-06;66;2;730;305
05;2021-03-07;35;0;765;305
05;2021-03-08;41;3;806;308
05;2021-03-09;45;5;851;313
05;2021-03-10;57;5;908;318
05;2021-03-11;61;2;969;320
05;2021-03-12;79;5;1048;325
05;2021-03-13;50;0;1098;325
05;2021-03-14;32;0;1130;325
05;2021-03-15;41;10;1171;335
05;2021-03-16;10;2;1181;337
05;2021-03-17;8;5;1189;342
05;2021-03-18;18;0;1207;342
05;2021-03-19;48;2;1255;344
05;2021-03-20;16;1;1271;345
05;2021-03-21;0;0;1271;345
05;2021-03-22;47;1;1318;346
05;2021-03-23;51;0;1369;346
05;2021-03-24;80;2;1449;348
05;2021-03-25;95;0;1544;348
05;2021-03-26;114;0;1658;348
05;2021-03-27;42;1;1700;349
05;2021-03-28;2;0;1702;349
05;2021-03-29;91;1;1793;350
05;2021-03-30;117;1;1910;351
05;2021-03-31;66;10;1976;361
05;2021-04-01;76;3;2052;364
06;2020-12-28;0;0;0;0
06;2020-12-29;0;0;0;0
06;2020-12-30;0;0;0;0
06;2020-12-31;0;0;0;0
06;2021-01-01;2;0;2;0
06;2021-01-02;0;0;2;0
06;2021-01-03;1;0;3;0
06;2021-01-04;14;0;17;0
06;2021-01-05;19;0;36;0
06;2021-01-06;21;0;57;0
06;2021-01-07;54;0;111;0
06;2021-01-08;90;0;201;0
06;2021-01-09;54;0;255;0
06;2021-01-10;8;0;263;0
06;2021-01-11;93;0;356;0
06;2021-01-12;171;0;527;0
06;2021-01-13;141;0;668;0
06;2021-01-14;152;0;820;0
06;2021-01-15;96;0;916;0
06;2021-01-16;30;0;946;0
06;2021-01-17;1;0;947;0
06;2021-01-18;102;0;1049;0
06;2021-01-19;151;0;1200;0
06;2021-01-20;142;0;1342;0
06;2021-01-21;158;0;1500;0
06;2021-01-22;122;0;1622;0
06;2021-01-23;46;0;1668;0
06;2021-01-24;0;0;1668;0
06;2021-01-25;97;4;1765;4
06;2021-01-26;119;9;1884;13
06;2021-01-27;98;27;1982;40
06;2021-01-28;138;34;2120;74
06;2021-01-29;111;58;2231;132
06;2021-01-30;9;9;2240;141
06;2021-01-31;0;0;2240;141
06;2021-02-01;31;59;2271;200
06;2021-02-02;31;34;2302;234
06;2021-02-03;31;27;2333;261
06;2021-02-04;34;151;2367;412
06;2021-02-05;77;176;2444;588
06;2021-02-06;9;71;2453;659
06;2021-02-07;0;0;2453;659
06;2021-02-08;48;110;2501;769
06;2021-02-09;27;97;2528;866
06;2021-02-10;36;71;2564;937
06;2021-02-11;80;88;2644;1025
06;2021-02-12;73;105;2717;1130
06;2021-02-13;5;19;2722;1149
06;2021-02-14;0;0;2722;1149
06;2021-02-15;53;129;2775;1278
06;2021-02-16;92;143;2867;1421
06;2021-02-17;82;133;2949;1554
06;2021-02-18;108;161;3057;1715
06;2021-02-19;97;115;3154;1830
06;2021-02-20;20;21;3174;1851
06;2021-02-21;2;0;3176;1851
06;2021-02-22;60;52;3236;1903
06;2021-02-23;110;43;3346;1946
06;2021-02-24;94;33;3440;1979
06;2021-02-25;342;77;3782;2056
06;2021-02-26;397;72;4179;2128
06;2021-02-27;228;12;4407;2140
06;2021-02-28;17;0;4424;2140
06;2021-03-01;230;58;4654;2198
06;2021-03-02;362;52;5016;2250
06;2021-03-03;320;31;5336;2281
06;2021-03-04;588;75;5924;2356
06;2021-03-05;542;59;6466;2415
06;2021-03-06;1220;1;7686;2416
06;2021-03-07;849;0;8535;2416
06;2021-03-08;302;42;8837;2458
06;2021-03-09;468;69;9305;2527
06;2021-03-10;499;64;9804;2591
06;2021-03-11;625;87;10429;2678
06;2021-03-12;741;70;11170;2748
06;2021-03-13;1157;3;12327;2751
06;2021-03-14;58;0;12385;2751
06;2021-03-15;355;31;12740;2782
06;2021-03-16;238;68;12978;2850
06;2021-03-17;370;60;13348;2910
06;2021-03-18;353;88;13701;2998
06;2021-03-19;531;78;14232;3076
06;2021-03-20;275;15;14507;3091
06;2021-03-21;52;0;14559;3091
06;2021-03-22;381;54;14940;3145
06;2021-03-23;613;77;15553;3222
06;2021-03-24;550;70;16103;3292
06;2021-03-25;658;92;16761;3384
06;2021-03-26;721;98;17482;3482
06;2021-03-27;255;13;17737;3495
06;2021-03-28;38;0;17775;3495
06;2021-03-29;287;88;18062;3583
06;2021-03-30;544;82;18606;3665
06;2021-03-31;647;78;19253;3743
06;2021-04-01;712;85;19965;3828
07;2020-12-28;0;0;0;0
07;2020-12-29;0;0;0;0
07;2020-12-30;0;0;0;0
07;2020-12-31;0;0;0;0
07;2021-01-01;1;0;1;0
07;2021-01-02;0;0;1;0
07;2021-01-03;0;0;1;0
07;2021-01-04;0;0;1;0
07;2021-01-05;0;0;1;0
07;2021-01-06;3;0;4;0
07;2021-01-07;5;0;9;0
07;2021-01-08;4;0;13;0
07;2021-01-09;7;0;20;0
07;2021-01-10;0;0;20;0
07;2021-01-11;8;0;28;0
07;2021-01-12;34;0;62;0
07;2021-01-13;25;0;87;0
07;2021-01-14;41;0;128;0
07;2021-01-15;21;0;149;0
07;2021-01-16;0;0;149;0
07;2021-01-17;0;0;149;0
07;2021-01-18;11;0;160;0
07;2021-01-19;72;0;232;0
07;2021-01-20;43;0;275;0
07;2021-01-21;30;0;305;0
07;2021-01-22;16;0;321;0
07;2021-01-23;6;0;327;0
07;2021-01-24;0;0;327;0
07;2021-01-25;8;0;335;0
07;2021-01-26;21;0;356;0
07;2021-01-27;20;3;376;3
07;2021-01-28;49;7;425;10
07;2021-01-29;45;6;470;16
07;2021-01-30;17;2;487;18
07;2021-01-31;0;0;487;18
07;2021-02-01;13;8;500;26
07;2021-02-02;36;26;536;52
07;2021-02-03;45;14;581;66
07;2021-02-04;39;34;620;100
07;2021-02-05;26;25;646;125
07;2021-02-06;2;1;648;126
07;2021-02-07;1;0;649;126
07;2021-02-08;12;8;661;134
07;2021-02-09;15;39;676;173
07;2021-02-10;24;55;700;228
07;2021-02-11;12;30;712;258
07;2021-02-12;11;6;723;264
07;2021-02-13;1;2;724;266
07;2021-02-14;0;0;724;266
07;2021-02-15;12;4;736;270
07;2021-02-16;11;12;747;282
07;2021-02-17;22;15;769;297
07;2021-02-18;27;33;796;330
07;2021-02-19;30;42;826;372
07;2021-02-20;5;3;831;375
07;2021-02-21;0;0;831;375
07;2021-02-22;16;3;847;378
07;2021-02-23;36;43;883;421
07;2021-02-24;82;42;965;463
07;2021-02-25;97;30;1062;493
07;2021-02-26;188;13;1250;506
07;2021-02-27;52;16;1302;522
07;2021-02-28;0;0;1302;522
07;2021-03-01;46;5;1348;527
07;2021-03-02;74;18;1422;545
07;2021-03-03;99;18;1521;563
07;2021-03-04;202;21;1723;584
07;2021-03-05;262;17;1985;601
07;2021-03-06;178;1;2163;602
07;2021-03-07;83;0;2246;602
07;2021-03-08;24;13;2270;615
07;2021-03-09;119;10;2389;625
07;2021-03-10;101;15;2490;640
07;2021-03-11;196;15;2686;655
07;2021-03-12;227;25;2913;680
07;2021-03-13;95;3;3008;683
07;2021-03-14;0;0;3008;683
07;2021-03-15;42;8;3050;691
07;2021-03-16;94;16;3144;707
07;2021-03-17;57;30;3201;737
07;2021-03-18;91;17;3292;754
07;2021-03-19;116;22;3408;776
07;2021-03-20;69;4;3477;780
07;2021-03-21;0;0;3477;780
07;2021-03-22;83;23;3560;803
07;2021-03-23;132;28;3692;831
07;2021-03-24;140;40;3832;871
07;2021-03-25;207;20;4039;891
07;2021-03-26;210;19;4249;910
07;2021-03-27;50;2;4299;912
07;2021-03-28;1;0;4300;912
07;2021-03-29;92;10;4392;922
07;2021-03-30;158;28;4550;950
07;2021-03-31;172;31;4722;981
07;2021-04-01;162;34;4884;1015
08;2020-12-28;0;0;0;0
08;2020-12-29;0;0;0;0
08;2020-12-30;0;0;0;0
08;2020-12-31;0;0;0;0
08;2021-01-01;0;0;0;0
08;2021-01-02;0;0;0;0
08;2021-01-03;0;0;0;0
08;2021-01-04;6;0;6;0
08;2021-01-05;0;0;6;0
08;2021-01-06;0;0;6;0
08;2021-01-07;10;0;16;0
08;2021-01-08;52;0;68;0
08;2021-01-09;15;0;83;0
08;2021-01-10;0;0;83;0
08;2021-01-11;17;0;100;0
08;2021-01-12;28;0;128;0
08;2021-01-13;61;0;189;0
08;2021-01-14;48;0;237;0
08;2021-01-15;42;0;279;0
08;2021-01-16;13;0;292;0
08;2021-01-17;0;0;292;0
08;2021-01-18;18;0;310;0
08;2021-01-19;60;0;370;0
08;2021-01-20;54;0;424;0
08;2021-01-21;45;0;469;0
08;2021-01-22;51;0;520;0
08;2021-01-23;15;0;535;0
08;2021-01-24;0;0;535;0
08;2021-01-25;11;0;546;0
08;2021-01-26;14;0;560;0
08;2021-01-27;19;0;579;0
08;2021-01-28;41;12;620;12
08;2021-01-29;47;45;667;57
08;2021-01-30;16;6;683;63
08;2021-01-31;0;0;683;63
08;2021-02-01;4;6;687;69
08;2021-02-02;13;28;700;97
08;2021-02-03;9;35;709;132
08;2021-02-04;20;38;729;170
08;2021-02-05;32;44;761;214
08;2021-02-06;12;10;773;224
08;2021-02-07;0;0;773;224
08;2021-02-08;2;21;775;245
08;2021-02-09;15;65;790;310
08;2021-02-10;33;55;823;365
08;2021-02-11;28;29;851;394
08;2021-02-12;44;27;895;421
08;2021-02-13;7;10;902;431
08;2021-02-14;0;0;902;431
08;2021-02-15;16;3;918;434
08;2021-02-16;9;18;927;452
08;2021-02-17;7;13;934;465
08;2021-02-18;14;37;948;502
08;2021-02-19;30;32;978;534
08;2021-02-20;0;12;978;546
08;2021-02-21;0;0;978;546
08;2021-02-22;12;8;990;554
08;2021-02-23;21;16;1011;570
08;2021-02-24;16;21;1027;591
08;2021-02-25;179;29;1206;620
08;2021-02-26;215;48;1421;668
08;2021-02-27;135;13;1556;681
08;2021-02-28;11;0;1567;681
08;2021-03-01;26;4;1593;685
08;2021-03-02;117;11;1710;696
08;2021-03-03;183;15;1893;711
08;2021-03-04;163;17;2056;728
08;2021-03-05;188;36;2244;764
08;2021-03-06;224;9;2468;773
08;2021-03-07;8;0;2476;773
08;2021-03-08;47;8;2523;781
08;2021-03-09;97;8;2620;789
08;2021-03-10;161;3;2781;792
08;2021-03-11;183;17;2964;809
08;2021-03-12;314;24;3278;833
08;2021-03-13;160;5;3438;838
08;2021-03-14;3;0;3441;838
08;2021-03-15;42;2;3483;840
08;2021-03-16;43;3;3526;843
08;2021-03-17;66;9;3592;852
08;2021-03-18;64;13;3656;865
08;2021-03-19;126;21;3782;886
08;2021-03-20;100;1;3882;887
08;2021-03-21;1;0;3883;887
08;2021-03-22;55;1;3938;888
08;2021-03-23;88;3;4026;891
08;2021-03-24;197;1;4223;892
08;2021-03-25;313;8;4536;900
08;2021-03-26;349;7;4885;907
08;2021-03-27;168;5;5053;912
08;2021-03-28;27;0;5080;912
08;2021-03-29;50;13;5130;925
08;2021-03-30;153;32;5283;957
08;2021-03-31;142;33;5425;990
08;2021-04-01;251;23;5676;1013
09;2020-12-28;0;0;0;0
09;2020-12-29;0;0;0;0
09;2020-12-30;0;0;0;0
09;2020-12-31;0;0;0;0
09;2021-01-01;0;0;0;0
09;2021-01-02;0;0;0;0
09;2021-01-03;0;0;0;0
09;2021-01-04;0;0;0;0
09;2021-01-05;0;0;0;0
09;2021-01-06;0;0;0;0
09;2021-01-07;12;0;12;0
09;2021-01-08;14;0;26;0
09;2021-01-09;9;0;35;0
09;2021-01-10;7;0;42;0
09;2021-01-11;15;0;57;0
09;2021-01-12;18;0;75;0
09;2021-01-13;14;0;89;0
09;2021-01-14;22;0;111;0
09;2021-01-15;10;0;121;0
09;2021-01-16;14;0;135;0
09;2021-01-17;5;0;140;0
09;2021-01-18;8;0;148;0
09;2021-01-19;17;0;165;0
09;2021-01-20;10;0;175;0
09;2021-01-21;12;0;187;0
09;2021-01-22;8;0;195;0
09;2021-01-23;4;0;199;0
09;2021-01-24;7;0;206;0
09;2021-01-25;11;1;217;1
09;2021-01-26;25;4;242;5
09;2021-01-27;29;3;271;8
